,confidence,feedback,corrcted feedback,intent,response,utterance,
4,0.67,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Computer does not open,
7,1,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Laptop doesnt open,
11,0.76,0,,complete,"I am a bot designed to solve computer problems. ",Am I talking to human?,
14,0.78,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer does not work,
15,0.9,1,,complete,"Thank you for using our service.",It works now.,
17,1,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Help me open my computer,
28,1,0,,greet,"Hi, I am good. What about you?",HOw are you today?,
31,1,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",computer not opening,
44,1,0,,Feedback,I am happy to hear that,YES,
46,1,1,,Feedback,I am happy to hear that,YES,
48,0.43,0,,complete,"Thank you for using our service.",Wow its working,
50,0.79,1,,help,"I can help you with computer troubleshooting related questions.",Can you do anything else?,
51,1,1,,Feedback,I am sorry to hear that,NO,
52,1,1,,Feedback,I am sorry to hear that,NO,
54,0.83,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Laptop is down,
58,0.51,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Computer is down,
63,0.69,0,,greet,"Hi, I am good. What about you?","Hello Julie, how are you ?",
68,0.8,0,,greet,"Hi, I am good. What about you?",How are you? ,
72,0.36,1,,complete,"Thank you for using our service. ",Problem is solved ,
74,0.46,1,,complete,"Thank you for using our service.",Its finally working ,1
83,1,0,,Feedback,I am happy to hear that,YES,
85,0.97,0,,goodbye,Bye bye! Thanks for the chat!,"Bye, have a good day",
91,0.56,0,,goodbye,Bye bye! Thanks for the chat!,"Thank you, bye ! ",
110,0.91,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer does not work,
111,0.42,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My laptop does not work,
